City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Lorengau,PG,77.99,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
398,Altamira,BR,89.69,scattered clouds,-3.2033,-52.2064,Hotel Vale do Xingu
402,Am Timan,TD,76.55,clear sky,11.0297,20.2827,Nimla
406,Batticaloa,LK,76.33,overcast clouds,7.7102,81.6924,Lake View Hotel
417,Buchanan,LR,79.34,few clouds,5.8808,-10.0467,Phillipmena's Guesthouse
426,Trincomalee,LK,78.62,overcast clouds,8.5711,81.2335,Silver Star Inn
441,Santa Rosa,PH,78.78,scattered clouds,14.3122,121.1114,JARS RESORT
445,Benguela,AO,75.13,overcast clouds,-12.5763,13.4055,Hotel Moibela
449,Soyo,AO,78.04,light rain,-6.1349,12.3689,Hotel Maria Teres
450,Inhambane,MZ,78.24,broken clouds,-23.865,35.3833,Hotel de Inhambane
456,Poso,ID,76.57,overcast clouds,-1.3959,120.7524,Nusantara
462,Salinopolis,BR,80.55,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
466,Sorong,ID,78.98,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
477,Mahibadhoo,MV,78.75,scattered clouds,3.7833,72.9667,Coral View Inn
498,Upata,VE,78.48,overcast clouds,8.0086,-62.3989,Hotel Garibardi
502,Sweetwater,US,83.01,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
512,Aden,YE,77.58,few clouds,12.7794,45.0367,فندق قصر الجزيرة
519,Sassandra,CI,78.42,few clouds,4.95,-6.0833,Hotel Le Pollet
535,Paso De Los Toros,UY,79.21,few clouds,-32.8167,-56.5167,Hotel Italiana
536,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Tara-Mé
543,San Juan,AR,88.93,clear sky,-31.5375,-68.5364,Hotel San Francisco
545,Kuching,MY,77.22,light rain,1.55,110.3333,Hotel Samudera
550,General Roca,AR,88.63,clear sky,-39.0333,-67.5833,Hotel Austral
551,Galle,LK,76.51,overcast clouds,6.0367,80.217,Jungle Hostel Villa
565,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Hôtel Trévani
567,Praia,CV,77.54,clear sky,14.9215,-23.5087,Casa Sodadi
569,Moerai,PF,77.27,overcast clouds,-22.4333,-151.3333,Manotel Rurutu
578,Linguere,SN,80.26,scattered clouds,15.3953,-15.1193,Thiossane Plaza
591,Bowen,AU,78.71,clear sky,-20.0167,148.2333,Whitsunday Sands Resort
593,Durban,ZA,76.01,overcast clouds,-29.8579,31.0292,Tudor
598,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Marry's Motel
600,Barinitas,VE,79.02,overcast clouds,8.7622,-70.4111,Hotel EL Jardin
603,Waingapu,ID,80.01,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
607,Pedasi,PA,87.06,light rain,7.5333,-80.0333,Dim's Hostal
619,Manta,EC,82.18,broken clouds,-0.95,-80.7333,La Gaviota
